Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
16771,0.4,Very Good,F,SI2,62.6,53.0,4.7,4.75,2.96,579
4477,0.5,Fair,D,SI1,64.6,61.0,5.05,4.95,3.23,1238
1099,0.42,Ideal,H,VVS2,61.1,56.0,4.8,4.85,2.95,910
25123,1.2,Premium,J,SI1,60.6,59.0,6.88,6.84,4.16,4838
18905,0.73,Very Good,G,I1,62.5,58.0,5.74,5.82,3.61,1298
4267,0.67,Good,G,VS2,57.5,60.1,5.78,5.83,3.34,2131
20567,1.05,Premium,F,VS1,61.0,58.0,6.6,6.55,4.01,7879
24387,1.01,Ideal,I,SI1,61.9,59.0,6.38,6.42,3.96,4638
13632,0.51,Fair,F,VVS2,60.7,66.0,5.21,5.11,3.13,4368
24221,0.32,Ideal,I,VS2,61.3,56.0,4.43,4.38,2.7,576
26208,0.32,Ideal,D,SI1,62.9,56.0,4.4,4.38,2.76,706
10504,0.51,Premium,F,VS1,61.4,58.0,5.15,5.18,3.17,1744
11447,0.69,Premium,H,VS2,60.8,59.0,5.77,5.74,3.5,1863
6730,0.7,Premium,J,IF,60.5,59.0,5.67,5.73,3.45,2150
22265,1.72,Good,F,SI1,64.3,60.0,7.56,7.52,4.85,13622
18470,0.31,Premium,G,VS2,61.5,59.0,4.33,4.35,2.67,544
10811,0.32,Very Good,G,IF,,55.0,4.37,4.4,2.75,872
8224,1.56,Ideal,H,SI1,62.2,55.0,7.41,7.45,4.62,12082
16425,0.72,Premium,F,SI1,61.6,60.0,5.79,5.73,3.55,2314
22447,0.51,Ideal,J,SI2,62.1,56.0,5.1,5.14,3.18,885
11193,0.31,Good,G,VS2,63.2,58.0,4.28,4.3,2.71,507
9186,0.37,Premium,F,VS2,60.6,58.0,4.67,4.63,2.82,957
23038,0.91,Fair,D,VS2,65.1,63.0,6.02,6.0,3.91,4439
8082,0.7,Ideal,F,SI1,61.3,57.0,5.72,5.77,3.52,2288
10056,0.53,Ideal,F,VS1,61.5,56.0,5.26,5.22,3.22,1856
25033,1.5,Premium,F,VS1,62.2,60.0,7.3,7.27,4.53,15851
7795,0.32,Premium,G,SI1,61.0,61.0,4.41,4.38,2.68,612
8255,1.0,Premium,G,SI2,61.8,60.0,6.37,6.34,3.93,4284
11232,1.2,Ideal,H,SI2,62.6,58.0,6.74,6.81,4.24,5613
22731,0.77,Ideal,I,VVS2,62.1,55.0,5.85,5.9,3.65,2598
3611,1.06,Premium,H,VS2,60.8,59.0,6.55,6.58,3.99,5205
15142,0.7,Ideal,G,VS1,61.2,57.0,5.7,5.74,3.5,3140
16898,0.58,Ideal,F,SI1,62.2,57.0,5.37,5.33,3.33,1705
22541,0.36,Ideal,E,VVS2,62.0,54.0,4.56,4.6,2.84,887
25294,0.36,Premium,I,VS1,62.0,59.0,4.6,4.53,2.83,729
14548,1.0,Very Good,E,SI1,63.1,58.0,6.34,6.2,3.95,4435
26770,1.17,Ideal,I,SI2,62.2,56.0,6.72,6.79,4.2,4488
11159,0.38,Very Good,D,VS1,59.5,61.0,4.66,4.69,2.78,921
6964,0.74,Ideal,G,SI2,62.7,56.0,5.75,5.8,3.62,2423
1033,0.9,Ideal,D,SI1,61.3,58.0,6.16,6.21,3.79,4661
18843,0.51,Good,E,VVS2,62.0,60.5,5.05,5.08,3.15,1980
14015,0.53,Ideal,G,VS1,61.9,55.0,5.22,5.25,3.24,1695
23734,0.34,Ideal,D,I1,61.4,55.0,4.5,4.52,2.77,413
23428,0.31,Ideal,D,VS2,61.0,54.0,4.38,4.44,2.69,656
26210,0.33,Premium,I,VS1,61.6,60.0,4.45,4.42,2.73,668
15782,0.32,Very Good,F,VS1,62.3,55.0,4.38,4.42,2.74,696
26624,0.51,Ideal,D,VS2,62.7,55.0,5.12,5.09,3.2,1882
5820,0.3,Ideal,H,VS1,62.9,57.0,4.29,4.26,2.69,675
20085,0.71,Very Good,F,SI1,61.1,57.0,5.71,5.74,3.5,2333
13013,0.72,Premium,F,VVS2,61.1,58.0,5.78,5.84,3.55,3250
9315,1.31,Ideal,G,SI1,63.4,57.0,6.97,6.87,4.4,7277
15559,2.07,Premium,E,SI2,61.4,58.0,8.24,8.19,5.04,13786
22343,0.32,Ideal,D,SI2,,56.0,4.46,4.43,2.73,612
19555,1.01,Very Good,G,VS1,62.3,60.0,6.35,6.49,4.0,6368
26090,0.32,Ideal,G,IF,61.3,56.0,4.4,4.44,2.71,905
